Word,Weight by occurence
dawkins,64
genes,50
new,49
digital,47
life,40
time,36
evolution,35
world,33
us,29
information,27
even,26
fuzzy,25
dawkinss,24
human,23
book,22
software,21
computer,20
find,19
artificial,18
become,17
dont,16
around,15
future,14
biology,13
code,12
