microsoft,dont,thats,since,without,aol,yk,san,doesnt,something,didnt,theyre,among,whether,per,microsofts,im,isnt,ibm,att,youre,ecommerce,intel,francisco,others,anything,ebay,saidthe,although,lycos,dow,yearold,anyone,sony,whose,everything,everyone,whats,via,wasnt,highspeed,amazoncom,arent,toward,los,steve,compaq,weve,wouldnt,angeles
273,310,406,202,283,369,232,209,249,175,401,177
198,134,163,152,147,185,197,217,191,199,197,212
130,100,119,140,99,118,132,151,102,179,112,162
96,126,126,131,129,122,102,108,106,125,138,148
96,74,114,99,73,96,95,87,106,93,94,109
105,169,57,91,105,68,71,111,54,193,39,66
67,69,103,132,46,100,42,49,150,85,62,215
92,75,84,67,80,122,96,141,75,82,77,87
76,80,86,63,87,95,108,78,90,108,92,91
100,83,73,80,79,72,90,97,85,92,91,112
99,105,84,99,66,65,80,79,64,82,96,82
61,66,78,87,68,85,92,100,89,103,83,86
71,128,84,70,81,77,76,73,74,77,84,100
72,65,83,78,83,75,68,48,83,84,99,86
86,59,57,74,55,70,57,99,66,108,53,56
58,59,104,53,47,108,57,37,77,35,102,31
103,53,61,58,49,56,41,55,47,71,55,81
57,61,69,72,57,55,52,62,62,56,60,58
63,65,108,91,89,77,41,31,44,39,37,35
132,68,56,75,139,68,39,41,20,27,19,35
60,61,49,49,52,55,47,57,57,86,63,54
48,65,34,62,53,55,60,60,69,42,45,83
101,75,191,75,46,34,22,22,18,38,23,30
55,43,41,34,44,66,58,88,39,55,56,46
46,55,52,40,47,42,49,64,62,47,58,59
56,52,45,52,49,47,49,50,55,57,46,61
127,44,37,60,20,39,29,26,34,49,49,62
26,44,43,45,34,56,49,44,53,56,53,57
49,40,48,58,40,32,35,49,48,44,43,62
69,201,133,30,50,19,6,4,3,7,6,10
53,38,93,65,40,17,12,29,46,58,27,51
34,43,43,37,30,54,54,41,38,47,40,56
52,56,42,35,39,44,41,41,50,43,27,44
32,46,43,52,20,24,12,38,51,34,123,27
35,46,43,29,54,38,40,41,40,40,46,49
45,39,53,45,31,39,40,43,40,39,39,46
39,32,50,56,37,30,32,34,45,47,44,51
35,54,43,35,35,37,36,26,33,39,40,44
28,32,27,30,28,42,50,41,37,46,39,49
47,35,43,42,30,31,30,27,27,47,38,36
55,30,36,44,55,33,27,29,26,30,35,24
44,37,70,39,31,40,27,40,19,21,15,39
35,28,35,30,36,43,31,43,37,43,29,19
31,31,23,35,30,27,30,38,38,37,43,41
20,26,42,38,26,30,33,51,44,34,20,37
40,28,35,26,32,56,42,24,38,34,22,20
51,71,46,75,27,20,40,14,8,19,12,2
21,19,29,28,26,29,41,32,40,39,29,43
34,32,19,29,29,31,27,24,26,29,26,36
15,23,35,27,21,22,32,46,36,30,16,35
